epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.807,1.30874,3.06183,1.64201,0.00751,1,0.57054,0.28543,1.14225,3.26141,1.74643,0.00018577,0.00018577,0.00018577
2,119.2,1.08335,2.33286,1.47804,0.01024,1,0.68156,0.36313,1.01022,2.86656,1.56733,0.00038201,0.00038201,0.00038201
3,176.695,1.08701,1.9192,1.45147,0.57083,0.67003,0.75628,0.3916,1.16499,2.39589,1.78628,0.000574289,0.000574289,0.000574289
4,238.433,1.04604,1.72155,1.4209,0.73686,0.73822,0.75599,0.41568,0.99896,2.07171,1.57156,0.000762607,0.000762607,0.000762607
5,295.838,1.0594,1.69235,1.421,0.65857,0.71131,0.73478,0.39086,0.98271,2.02296,1.5863,0.000946964,0.000946964,0.000946964
6,353.372,1.00126,1.60296,1.3905,0.56084,0.76599,0.73772,0.40457,1.25211,2.14937,1.86886,0.00112736,0.00112736,0.00112736
7,411.135,0.99888,1.58029,1.38487,0.61418,0.76509,0.74342,0.29996,1.32596,2.5756,2.06554,0.00130379,0.00130379,0.00130379
8,469.482,1.01344,1.5567,1.38778,0.5431,0.81825,0.6328,0.28529,1.39075,2.51876,2.26248,0.00132997,0.00132997,0.00132997
9,528.721,1.02272,1.57236,1.40339,0.44333,0.79979,0.56704,0.28293,1.5105,2.38522,2.18446,0.00131582,0.00131582,0.00131582
10,592.911,1.05903,1.46161,1.37478,0.50019,0.72666,0.67323,0.36665,1.44097,2.10308,2.02173,0.00130168,0.00130168,0.00130168
11,650.323,0.99433,1.53413,1.35912,0.62928,0.80892,0.79623,0.45297,1.05601,1.88762,1.57628,0.00128753,0.00128753,0.00128753
12,706.71,1.0148,1.47173,1.37153,0.60078,0.84225,0.7361,0.46058,1.02639,2.0071,1.61356,0.00127338,0.00127338,0.00127338
13,762.996,1.03635,1.46704,1.41269,0.55319,0.91162,0.63174,0.32791,1.21857,2.03946,1.7973,0.00125923,0.00125923,0.00125923
14,822.239,0.97898,1.39165,1.35199,0.4721,0.87352,0.70044,0.37354,0.96063,2.27352,1.521,0.00124509,0.00124509,0.00124509
15,877.654,0.91359,1.37616,1.31648,0.48368,0.87458,0.66413,0.40084,0.99027,2.1876,1.49706,0.00123094,0.00123094,0.00123094
16,933.678,0.92576,1.34928,1.30089,0.71586,0.81534,0.81446,0.48525,1.17959,1.90181,1.72677,0.00121679,0.00121679,0.00121679
17,989.158,0.92798,1.35164,1.31177,0.76972,0.69904,0.7777,0.51455,0.8294,1.65592,1.35475,0.00120265,0.00120265,0.00120265
18,1045.79,0.91308,1.31394,1.2938,0.47292,0.95808,0.75658,0.49413,0.88864,1.90204,1.44607,0.0011885,0.0011885,0.0011885
19,1103.26,0.88451,1.2602,1.28418,0.50706,0.82439,0.77409,0.49107,0.90217,1.95826,1.45733,0.00117435,0.00117435,0.00117435
20,1160.42,0.90701,1.29944,1.31855,0.65996,0.79865,0.80072,0.52795,0.94832,1.76076,1.54359,0.00116021,0.00116021,0.00116021
21,1218,0.90757,1.2096,1.30794,0.56985,0.91939,0.75206,0.49803,0.82616,1.77227,1.39469,0.00114606,0.00114606,0.00114606
22,1276.3,0.87031,1.23802,1.27272,0.59897,0.94276,0.79799,0.53539,0.81251,1.64382,1.34125,0.00113191,0.00113191,0.00113191
23,1339.02,0.8683,1.28218,1.27982,0.60315,0.93266,0.78575,0.55963,0.76628,1.4714,1.33213,0.00111776,0.00111776,0.00111776
24,1395.52,0.88263,1.22325,1.27202,0.4929,0.87064,0.7843,0.5324,0.79528,1.43303,1.37613,0.00110362,0.00110362,0.00110362
25,1454.95,0.83518,1.13333,1.24033,0.51794,0.89899,0.78908,0.55525,0.77392,1.36363,1.32596,0.00108947,0.00108947,0.00108947
26,1514.19,0.89625,1.20444,1.29525,0.56099,0.97359,0.81507,0.58548,0.82192,1.33328,1.38711,0.00107532,0.00107532,0.00107532
27,1572.47,0.8989,1.20839,1.28976,0.57011,0.9113,0.78107,0.58064,0.7799,1.33988,1.32728,0.00106118,0.00106118,0.00106118
28,1630.65,0.84028,1.18184,1.22564,0.54519,0.85144,0.77021,0.52399,0.7874,1.44002,1.27678,0.00104703,0.00104703,0.00104703
29,1689.92,0.83649,1.17981,1.23649,0.54054,0.94066,0.79937,0.54613,0.83271,1.42858,1.34282,0.00103288,0.00103288,0.00103288
30,1747.78,0.85165,1.2108,1.26603,0.53689,0.85277,0.73307,0.49736,0.85241,1.54953,1.44538,0.00101873,0.00101873,0.00101873
31,1803.69,0.84235,1.15686,1.24485,0.59111,0.86485,0.77059,0.53317,0.75745,1.46741,1.30031,0.00100459,0.00100459,0.00100459
32,1860.21,0.81339,1.17028,1.25736,0.53662,0.97903,0.80391,0.60534,0.73172,1.31508,1.26955,0.00099044,0.00099044,0.00099044
33,1917.85,0.75399,1.0839,1.21195,0.60143,0.8532,0.81389,0.59535,0.73188,1.25725,1.26016,0.000976293,0.000976293,0.000976293
34,1975.33,0.82032,1.08841,1.2306,0.49483,1,0.78578,0.56931,0.78473,1.25232,1.29466,0.000962146,0.000962146,0.000962146
35,2034.48,0.76571,1.05526,1.19322,0.4775,0.9899,0.79162,0.57321,0.70484,1.32499,1.2676,0.000947999,0.000947999,0.000947999
36,2091.55,0.83175,1.04443,1.24138,0.4992,0.9899,0.78016,0.56627,0.7257,1.39559,1.23017,0.000933851,0.000933851,0.000933851
37,2148.67,0.81505,1.06699,1.2163,0.75856,0.65152,0.81974,0.62423,0.69267,1.25638,1.21045,0.000919704,0.000919704,0.000919704
38,2204.96,0.76284,1.05495,1.16934,0.71931,0.76162,0.77996,0.58808,0.69998,1.12077,1.22261,0.000905557,0.000905557,0.000905557
39,2261.69,0.77628,0.99312,1.22655,0.63683,0.7421,0.75777,0.57922,0.71256,1.12619,1.24469,0.00089141,0.00089141,0.00089141
40,2321.49,0.77537,0.99231,1.19364,0.54886,0.81606,0.76907,0.58643,0.66844,1.11993,1.2169,0.000877263,0.000877263,0.000877263
41,2391.4,0.78621,1.01562,1.20921,0.48885,0.98583,0.75293,0.57377,0.69816,1.1292,1.23872,0.000863116,0.000863116,0.000863116
42,2448.32,0.77655,1.07493,1.2061,0.59282,0.83632,0.78886,0.61301,0.7036,1.04564,1.21684,0.000848969,0.000848969,0.000848969
43,2504.36,0.79761,1.00945,1.21382,0.64087,0.93062,0.80604,0.61305,0.73157,1.04809,1.26631,0.000834822,0.000834822,0.000834822
44,2560.83,0.73229,1.04348,1.1607,0.58835,0.90706,0.80893,0.60213,0.71807,1.07438,1.2442,0.000820675,0.000820675,0.000820675
45,2615.81,0.81797,1.06705,1.22823,0.68644,0.65138,0.78316,0.56212,0.67194,1.1693,1.19805,0.000806528,0.000806528,0.000806528
46,2691.17,0.7671,1.04188,1.18925,0.44991,0.91018,0.77509,0.51897,0.78152,1.41917,1.27977,0.00079238,0.00079238,0.00079238
47,2767.91,0.77058,1.02229,1.21693,0.47419,0.89537,0.76226,0.55007,0.72218,1.41045,1.24612,0.000778233,0.000778233,0.000778233
48,2834.11,0.73929,0.96524,1.18827,0.49845,0.97426,0.7662,0.56314,0.71332,1.31926,1.27692,0.000764086,0.000764086,0.000764086
49,2899.41,0.72315,0.90577,1.17965,0.63333,0.7297,0.79365,0.60368,0.67074,1.1809,1.22397,0.000749939,0.000749939,0.000749939
50,2963.12,0.77885,0.9963,1.23069,0.65438,0.74548,0.76242,0.5704,0.72522,1.18396,1.25038,0.000735792,0.000735792,0.000735792
51,3026.81,0.75587,0.98032,1.17996,0.63785,0.76954,0.74551,0.55238,0.73266,1.16133,1.24594,0.000721645,0.000721645,0.000721645
52,3090.92,0.77302,0.97192,1.21072,0.5042,0.9697,0.72171,0.53319,0.72225,1.17282,1.22732,0.000707498,0.000707498,0.000707498
53,3153.83,0.77832,0.99938,1.18296,0.53547,0.78283,0.63659,0.45246,0.6837,1.38052,1.20756,0.000693351,0.000693351,0.000693351
54,3217.82,0.74372,0.97434,1.2061,0.47336,0.89199,0.58972,0.41767,0.73375,1.43432,1.23567,0.000679204,0.000679204,0.000679204
55,3281.5,0.75103,0.9422,1.18109,0.49307,0.87205,0.60198,0.42504,0.73687,1.3591,1.24259,0.000665057,0.000665057,0.000665057
56,3350,0.74568,0.90911,1.19285,0.51122,0.90273,0.6904,0.50954,0.69422,1.19477,1.22413,0.000650909,0.000650909,0.000650909
57,3415.39,0.71916,0.96333,1.1642,0.58712,0.94463,0.76597,0.54984,0.70451,1.15702,1.20603,0.000636762,0.000636762,0.000636762
58,3484.37,0.75834,0.95551,1.1804,0.55836,0.92424,0.74902,0.55625,0.6938,1.19359,1.1921,0.000622615,0.000622615,0.000622615
59,3551.89,0.73367,0.94337,1.15506,0.56398,0.9353,0.7584,0.56612,0.70871,1.18694,1.2082,0.000608468,0.000608468,0.000608468
60,3618.24,0.75723,0.95938,1.18897,0.56241,0.88695,0.77789,0.57919,0.6592,1.17371,1.18322,0.000594321,0.000594321,0.000594321
61,3674.1,0.75092,0.93348,1.20276,0.54866,0.83845,0.73327,0.55158,0.62339,1.36456,1.16851,0.000580174,0.000580174,0.000580174
62,3729.98,0.67607,0.89498,1.12459,0.61275,0.71532,0.73347,0.51497,0.6235,1.4671,1.16209,0.000566027,0.000566027,0.000566027
63,3785.27,0.73131,0.87287,1.16932,0.62618,0.68266,0.72637,0.52164,0.62949,1.4055,1.1682,0.00055188,0.00055188,0.00055188
64,3841.77,0.68725,0.88548,1.14117,0.59601,0.73896,0.72629,0.53212,0.59683,1.24693,1.17167,0.000537733,0.000537733,0.000537733
65,3897.92,0.66298,0.88144,1.13469,0.65581,0.71531,0.78245,0.59293,0.59065,1.08078,1.14881,0.000523586,0.000523586,0.000523586
66,3954.22,0.68041,0.91561,1.143,0.63237,0.72247,0.7809,0.60597,0.5976,1.01989,1.14047,0.000509438,0.000509438,0.000509438
67,4009.6,0.67629,0.86192,1.11583,0.61343,0.72054,0.77176,0.58332,0.57778,1.0858,1.1242,0.000495291,0.000495291,0.000495291
68,4065.4,0.70708,0.81167,1.14556,0.5554,0.77248,0.74685,0.55136,0.58432,1.31957,1.1222,0.000481144,0.000481144,0.000481144
69,4121.4,0.70884,0.90494,1.16215,0.521,0.88131,0.74931,0.54384,0.61556,1.39544,1.11669,0.000466997,0.000466997,0.000466997
70,4177.63,0.67513,0.87777,1.13757,0.61849,0.7298,0.79918,0.58362,0.59347,1.12453,1.09209,0.00045285,0.00045285,0.00045285
71,4232.97,0.63901,0.79577,1.1015,0.62223,0.7399,0.79227,0.57519,0.58499,1.12181,1.09738,0.000438703,0.000438703,0.000438703
72,4288.54,0.6472,0.8365,1.12642,0.62546,0.7399,0.7966,0.57595,0.60903,1.13826,1.11041,0.000424556,0.000424556,0.000424556
73,4344.42,0.69534,0.84573,1.13069,0.62279,0.74541,0.77277,0.55753,0.5797,1.23721,1.10339,0.000410409,0.000410409,0.000410409
74,4400.01,0.67352,0.85845,1.1387,0.50123,0.90068,0.7389,0.52275,0.61471,1.36745,1.15965,0.000396262,0.000396262,0.000396262
75,4455.4,0.69181,0.88283,1.14139,0.50444,0.90152,0.74167,0.53466,0.59677,1.36538,1.13859,0.000382115,0.000382115,0.000382115
76,4510.82,0.64236,0.84753,1.11299,0.57742,0.75781,0.7739,0.55911,0.56624,1.28479,1.1017,0.000367967,0.000367967,0.000367967
77,4566.24,0.68064,0.90708,1.14742,0.62509,0.72998,0.78351,0.57593,0.55945,1.2327,1.10317,0.00035382,0.00035382,0.00035382
78,4621.98,0.67475,0.84635,1.1701,0.62691,0.74532,0.77526,0.563,0.56465,1.26744,1.11252,0.000339673,0.000339673,0.000339673
79,4677.09,0.62137,0.8321,1.11625,0.60168,0.70424,0.77057,0.54541,0.58871,1.32033,1.12545,0.000325526,0.000325526,0.000325526
80,4732.66,0.64467,0.80036,1.1206,0.50941,0.85017,0.7312,0.5094,0.60018,1.50114,1.15729,0.000311379,0.000311379,0.000311379
81,4789.54,0.60846,0.82919,1.09392,0.51823,0.87037,0.67229,0.46011,0.60403,1.59794,1.17743,0.000297232,0.000297232,0.000297232
82,4844.98,0.68799,0.81035,1.12291,0.52818,0.85479,0.64036,0.44356,0.60243,1.62033,1.18384,0.000283085,0.000283085,0.000283085
